id,sku,name,day_ago_created,short_description,price,list_price,price_usd,all_time_quantity_sold,discount,discount_rate,review_count,rating_average,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name,categories_id,categories_name
176301592,7614679450893,Áo khoác nỉ bông cotton dày mịn - hoodie form rộng unisex Bounce - 2N Unisex,641,  **THÔNG TIN SẢN PHẨM**   Tên sản phẩm: áo khoác hoodie form rộng unisex.   Kiểu dáng: hoodie form rộng.   Kích thước: nam nữ đều mặc được.    Chiều dài áo: 74cm    Ngang ngực: 62cm    Tay áo ...,209000,275000,,,66000,24,0,0.0,,available,,1000,1000,,111461,OEM,49512,Áo hoodies nam vải nỉ
90065453,1576172999154,ÁO KHOÁC ÁO HOODIE CHỮ HÀN THỜI TRANG NAM NỮ,1019,"       THOI TRANG TEEN HIEN LINH   Áo khoác áo hoodie : chất liệu nỉ ngoại tốt không xù , dày dặn , , mềm mịn ,gúp cơ thể không bị nhiệt độ bên ngoài tác động   trung, lịch lãm.    * Chữ in rõ ...",103000,103000,,,0,0,0,0.0,,available,,1000,1000,,111461,OEM,2,Root
175835946,2582090393037,Áo Hoodie Unisex Thêu Logo TeeHolic Màu Xanh Rêu,644,"       ️ Áo Hoodie Unisex Nam Nữ Thêu Logo TeeHolic Màu Xanh Rêu️   ️ Form hoodie unisex rộng nam nữ đều mặc được   ️ Vải nỉ cào cotton 100% rất dày và đứng áo, định lượng 360g (gần như dày nhất...",549000,549000,,,0,0,0,0.0,,available,,1000,1000,,4699649,THS TEEHOLICSAIGON,2,Root
73551181,6601946755685,Áo hoodie in hình trái tim Mã: AX4172,1147,"Chất liệu: COTTONhọa tiết không cố địnhChất vải thoáng mát tạo cảm giác thoải máiThiết kế mang phong cách hiện đại, cá tínhKiểu dáng : thời trang đẹp mắtSize: free size ( phù hợp cho các bạn từ chiều ...",230000,230000,,,0,0,0,0.0,,available,,1000,1000,,111461,OEM,49512,Áo hoodies nam vải nỉ
146515382,1302063312851,"Áo Khoác Hooide Nỉ Bông in Hoa Hướng Dương OF DAY Form Rộng Unisex Nam Nữ Ulzzang, Áo Hoodie Unisex, Áo nỉ có mũ form rộng nam nữ vải Nỉ Bông",771,       Áo Khoác Hooide Nỉ Bông in Hoa Hướng Dương OF DAY Form Rộng Unisex Nam Nữ Ulzzang    Thông tin chi tiết của sản phẩm ÁO KHOÁC NỈ HOODIE   ️Kiểu dáng: Áo Khoác nỉ 1 lớp ; Áo Hoodie 1 Lớp ;...,103000,103000,,,0,0,0,0.0,,available,,1000,1000,,740219,Jinrinteen,49512,Áo hoodies nam vải nỉ
138491645,5451450737021,"Áo SWEATER Trơn 4 Màu nỉ Ngoại Ulzzang Unisex, Áo Sweater Trơn Chất Nỉ Lót Bông in hình gấu dễ thương - Sweater Unisex, áo chui đầu nam nữ, áo thun tay dài chất nỉ ngoại",798,       Áo SWEATER Trơn 8 Màu Ulzzang Unisex    Bảng SIZE: Quần / Áo form châu Âu rộng rộng nhé các cậu   (Bảng size mang tính chất tham khảo và phù hợp 80-90% sở thích các cậu ạ. Các bạn muốn ch...,95000,95000,,2.0,0,0,0,0.0,,available,,1000,1000,,740219,Jinrinteen,49512,Áo hoodies nam vải nỉ
156936150,1517336001594,"áo hoodie phản quang in hình đầu ngựa, chất nỉ dày dặn",743,Hoodie phản quangChất liệu: nỉ ngoại dày dặnMàu sắc : NHƯ HÌNHKích thước: freesize dưới 70kg (mặc đẹp từ 45-65kg)QUYỀN LỢI CỦA KH KHI MUA HÀNG Ở SHOPĐƯỢC KIỂM TRA HÀNG TRƯỚC KHI NHẬNĐƯỢC ĐỔI TRẢ...,123000,123000,,,0,0,0,0.0,,available,,1000,1000,,5367201,NHUH20,49512,Áo hoodies nam vải nỉ
69336992,4836047415042,ÁO KHOÁC NÌ NAM CHUI TRƠN CÓ TÚI,1202,size M từ 45-57kgsize L từ 58-63kgSize XL từ 64-72kgkhách béo bụng lên 1 size...,108000,108000,,1.0,0,0,0,0.0,,available,,1000,1000,,111461,OEM,914,Thời Trang
167980534,4583239439326,ÁO HOODIE NÂU FORM TO AZIER,685,"       Chất nỉ dày vừa   Cotton mịn   Form oversized ,to hơn các size bt. (size L = XL ngoài thị trường)   Size M: Ngang 68cm / Dài 70cm   Size L: Ngang:70cm / Dài 74cm   Sản xuất bởi team AZ...",420000,420000,,,0,0,0,0.0,,available,,1000,1000,,561415,	OEM,49514,Áo hoodies nam vải cotton
156936822,3908688381987,Hoodie tag Essential VIP nỉ bông/ Nam nữ unisex-NHUH2O,743,"Một chiếc hoodie xịn ko các cậuEssential là mấy bạn biết hot như nào rồi haÁo này phần chữ là in nhựa nổi, có tag ở mũ áo và tay áo(Bảng size bên shop chỉ mang tính chất tham khảo nè và phù hợp 80-...",137000,137000,,,0,0,0,0.0,,available,,1000,1000,,5367201,NHUH20,49512,Áo hoodies nam vải nỉ
146272879,7400501102963,"Áo hoodie nam, nữ chất liệu nỉ dày dặn chất lượng",775,"       Vải nỉ chất lượng, hoạ tiết sắc nét, màu sắc đúng chuẩn, giá cả hợp lí, giao hàng đảm bả   ...",368000,368000,,,0,0,0,0.0,,available,,1000,1000,,111461,OEM,22900,Áo nỉ nam
84770627,6866550296387,Áo Hoodie Liên Minh Huyền Thoại Tốc Chiến Logo League Of Lengend  2 Màu Đen Và Trắng Cực Chất Hình In Sắc Nét 2 Mặt Kiểu Dáng Trẻ Trung,1031," ẢNH BÁN HÀNG ĐỀU DO SHOP TỰ CHỤP !Sản phẩm : ÁO HOODIE MÀU ĐEN LOGO LEAGUE OF LENGEND Wild RiftTIÊU CHÍ BÁN HÀNG:- Không bán sản phẩm kém chất lượng.- Giá cả cạnh tranh nhất, quý khách nên so sánh gi...",145000,145000,,3.0,0,0,1,5.0,,available,,1000,1000,,111461,OEM,49514,Áo hoodies nam vải cotton
193589992,1635258734902,"Áo Nỉ Hoodi In Chữ WISH Cúc Bấm Phong Cách Hàn QuốcÁo Hoodie Nam Nữ Chất Nỉ 3 Màu(Be,Xám,Nâu Cam)",525,"Áo Nỉ Hoodi In Chữ WISH Cúc Bấm Phong Cách Hàn QuốcÁo Hoodie Nam Nữ Chất Nỉ 3 Màu(Be,Xám,Nâu Cam)Kho buôn DNNLUỐN ĐẶT UY TÍN LÊN HÀNG ĐẦUGIÁ RẺ ĐẾN TẬN TAY KHÁCH HÀNG️ Shop up ảnh thật tự chụp=&g...",92000,92000,,,0,0,0,0.0,,available,,1000,1000,,4048625,NIU24,49512,Áo hoodies nam vải nỉ
263604510,4904735768305,"Áo khoác hoodie Nam nữ hình thêu nổi bật Thích Biển mẫu chui chất nỉ ngoại xịn sò, Hooide in thích biển / form unisex ( ảnh thật tại shop), Áo khoác hoodie Nam Nữ logo in hìn nổi phối chữ THÍCH BIỂN nón 2 lớp tay phồng cánh dơi siêu hot",211,"- Xuất xứ: Việt Nam- Chất liệu: nỉ lót bông-Màu sắc :như hình size:-Size M: dưới 55kg, Cao dưới 1m60-Size L: từ 56-65kg , Cao 1m61 - 1m70-Size XL: từ 66-75 kg, Cao : 1m71 trở lênHướng dẫn bảo q...",127000,127000,,,0,0,0,0.0,,available,,1000,1000,,5367201,NHUH20,49512,Áo hoodies nam vải nỉ
205849372,2789502761272,"Áo tay dài Mmlg Mg Sweat - Áo Hoodie Sweater cho nam, nữ, unisex",430,"Áo tay dài Mmlg Mg Sweat - Áo Hoodie Sweater cho nam, nữ, unisex...",2080000,2080000,,,0,0,0,0.0,,available,,1000,1000,,7899451,MMLG,49514,Áo hoodies nam vải cotton
73490715,1999530996060,Áo hoodie con ngựa thun nỉ ngoại có nón đẹp,1146,"* Áo hoodie con ngựa thun nỉ ngoại có nón đẹp được may bằng chất liệu cao cấp, mềm mịn thoáng mát co giãn và thấm hút mồ cực kì hiệu quả. Với đường may tỉ mỉ, tinh tế, màu sắc trang nhã cho người mặc...",100000,100000,,,0,0,0,0.0,,available,,1000,1000,,740219,Jinrinteen,49512,Áo hoodies nam vải nỉ
9148044,3631006228234,Áo khoác nam hoodie AKN492 Thun nỉ ngoại ( ĐỎ ),1851,"Áo khoác nam HOODIE AKN492 Thun nỉ ngoại ( ĐỎ ) có kiểu dáng năng động và trẻ trung, cho bạn thêm năng động và cá tính.Được may từ vải cao cấp nên rất mềm mại, co giãn và thấm hút mồ hôi tốt mang lạ...",49000,49000,,17.0,0,0,4,4.0,,available,,1000,1000,,144467,Titishop,914,Thời Trang
207402999,2759531070652,Hoodie POPU Nothing Nam nữ unisex form rộng chất nỉ bông dày dặn - hoodie chui đầu có mũ Oversize,420,"- Mang lại độ mềm mại, bay bổng. Ngoài ra còn không bị nhàu, tạo cảm giác dịu mát, thoải mái cho người mặc. Áo cũng thường được may từ vải len dệt mỏng với chất liệu mềm, dày dặn. Khi mặc sẽ giúp bạn ...",107000,107000,,,0,0,0,0.0,,available,,1000,1000,,4048625,NIU24,49512,Áo hoodies nam vải nỉ
134387948,3834318332988,Áo Hoodie Nỉ Lót Bông PURBSSO Unisex ( Ảnh thật ),819,"        Size: Freesize Unisex From rộng dưới 65kg   + THÔNG TIN SẢN PHẨM   - Xuất xứ: Việt Nam   - - Áo Sweater Cardgian với Chất liệu nỉ ngoại mềm mịn dày dặn, co giãn, thông thoáng, đảm bảo c...",93000,93000,,,0,0,0,0.0,,available,,1000,1000,,111461,OEM,2,Root
